id,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83
2ea4_Counting1,439.1,5200.2,5654.7,6740.2,8490.0,9480.7,9256.6,5916.1,2188.1,797.5,15262.3,14.1,0.0,0.0,0.0,0.0,92.11665405152242,47.18836795429564,101.9,172.2,99.00562814063288,43.10845488254158,95.6,171.0,102.16430800225069,48.64737338579841,84.6,161.0,99.00130995847266,46.85406520980117,94.2,167.5,96.55468640509673,46.20821517248164,92.6,169.4,3.057666315227837,3.2827084268370386,12.74554366061401,13.749888638359721,13.077314771071006,2.301122771511197,2.824480616897625,3.0661987340523305,-0.14539949191819318,50.467407394945084,1.6614418848779369,34.37388543226842,-0.14539949191819318,50.467407394945084,1.6614418848779369,34.37388543226842,-0.14539949191819318,50.467407394945084,1.6614418848779369,34.37388543226842,-0.14539949191819318,50.467407394945084,1.6614418848779369,34.37388543226842,173.7,21.5,31.8,40.4,19.0,174.0,110.8,136.1,132.1,114.8,172.3,90.8,39.5,35.2,82.6,171.4,106.0,82.3,80.5,100.9,167.1,67.0,80.3,78.1
2ea4_Counting2,526.0,5591.9,5638.1,6681.4,8443.0,9380.8,9423.8,5897.9,2287.8,1224.8,16817.0,21.6,0.0,0.0,0.0,0.0,92.36162446269908,48.72643207730645,101.6,171.1,101.59028859268267,43.3763050745729,98.0,172.1,103.50437159669045,48.910484654935736,85.7,163.9,97.55796921470156,46.42952351964648,93.6,168.9,100.76423525238992,47.91549260725459,97.1,171.1,3.3565371659933994,3.4009198115045094,13.213778181282573,14.581822236854668,12.474400212256244,2.2563312313531254,3.027591660675891,3.0847157808982506,-0.15526590579663654,49.49488043689202,1.5027276133315899,34.78708531781167,-0.15526590579663654,49.49488043689202,1.5027276133315899,34.78708531781167,-0.15526590579663654,49.49488043689202,1.5027276133315899,34.78708531781167,-0.15526590579663654,49.49488043689202,1.5027276133315899,34.78708531781167,174.1,20.8,26.2,32.5,21.1,173.2,112.2,138.6,133.1,112.2,172.2,88.8,39.5,39.2,97.1,170.5,105.7,94.1,81.3,98.8,166.6,78.7,87.1,78.8
2ea4_Counting3,455.2,5644.0,5571.6,6167.2,7630.6,8918.7,9603.6,6498.3,3780.9,1378.8,15721.1,21.3,0.0,0.0,0.0,0.0,94.91027035596156,49.97393777523269,108.6,171.3,100.26334871496266,43.000423988108466,99.2,171.0,104.63252621972374,46.899874758629196,89.9,162.3,100.09629641132605,46.72694180946435,97.8,170.4,99.8088714172982,46.430991857069884,98.4,168.2,3.798706447411118,3.5149080274797653,12.226389243938,15.020583714470785,12.962075922575389,2.5963478324279676,3.310674433447383,2.8479467451309737,-0.0923510369816208,50.233586324714366,1.5441131975439781,36.807385383422584,-0.0923510369816208,50.233586324714366,1.5441131975439781,36.807385383422584,-0.0923510369816208,50.233586324714366,1.5441131975439781,36.807385383422584,-0.0923510369816208,50.233586324714366,1.5441131975439781,36.807385383422584,174.1,21.5,26.5,34.2,21.3,160.8,116.0,141.9,136.5,116.4,165.6,93.0,41.7,33.9,70.2,171.0,105.7,84.0,101.8,100.1,167.4,72.7,85.2,82.2
2ea4_Math,339.0,5033.5,5391.7,6222.2,8036.9,9164.2,9640.9,7072.1,3403.5,1292.4,15866.2,69.0,0.0,0.0,0.0,0.0,95.44506329582596,48.69689176838291,107.5,171.5,102.33419284700909,42.27645809904562,100.6,173.4,104.87888192086413,47.277551455201476,89.0,161.1,99.3755719484303,45.80960807896876,97.3,168.8,102.40932151653419,46.70887579539186,99.8,171.7,3.479981827230007,3.3349743544149404,13.091912654678609,14.54009353843308,13.482868719591044,2.279908049902953,2.952466528082092,2.6697532888742534,-0.17208244039753745,50.17929007550215,1.5759438314246328,35.24568952498035,-0.17208244039753745,50.17929007550215,1.5759438314246328,35.24568952498035,-0.17208244039753745,50.17929007550215,1.5759438314246328,35.24568952498035,-0.17208244039753745,50.17929007550215,1.5759438314246328,35.24568952498035,175.1,20.2,27.0,38.3,15.0,174.7,115.5,141.1,136.2,115.8,172.9,92.2,42.4,44.2,93.6,172.0,108.2,85.8,87.4,101.8,168.2,71.5,90.1,85.3
2ea4_Reading,618.0,5641.7,5405.1,6032.8,7635.7,8569.4,9006.8,6808.9,4301.3,1721.4,15728.5,15.7,0.0,0.0,0.0,0.0,96.79421003873138,51.23920946845764,112.3,172.3,100.13692792568517,42.81592818763671,99.6,169.4,104.46482978945384,46.466683681835974,90.2,166.0,97.84120934418297,45.602687942599765,96.1,168.7,103.1027219253285,48.142889550206256,101.9,169.6,3.704758150304284,3.27162952035163,12.484915306450596,15.423105216573592,13.467781091340196,2.5456556415776053,4.000436737553985,2.9840099178183914,-0.1846714507539195,49.54982936604542,1.4444941807338179,37.55668082816827,-0.1846714507539195,49.54982936604542,1.4444941807338179,37.55668082816827,-0.1846714507539195,49.54982936604542,1.4444941807338179,37.55668082816827,-0.1846714507539195,49.54982936604542,1.4444941807338179,37.55668082816827,173.8,18.8,24.9,25.2,28.9,172.9,119.6,148.3,138.7,116.6,172.3,88.5,37.6,33.5,75.9,171.0,107.5,92.5,92.9,97.4,167.2,73.8,88.1,81.4
2ea4_Speaking,469.2,5595.3,5485.5,6244.5,7631.5,8703.5,9083.9,6499.7,3584.3,1315.4,15873.8,17.0,0.0,0.0,0.0,0.0,95.85874092130834,49.88727304065132,109.3,172.2,100.18411039143055,42.93698543287712,99.2,171.9,103.54877273355194,47.46040816912163,88.6,162.3,95.50634864779269,44.74052290289416,93.6,168.8,104.21641739361698,48.37309505367409,102.2,171.1,3.431079663613552,3.332926426496614,11.957930745154542,15.430280147701245,12.829684951436827,2.726467765292736,3.4922057055908318,2.632624747637405,0.09338870382693158,49.45510541026974,1.4678750072731623,36.55539185136776,0.09338870382693158,49.45510541026974,1.4678750072731623,36.55539185136776,0.09338870382693158,49.45510541026974,1.4678750072731623,36.55539185136776,0.09338870382693158,49.45510541026974,1.4678750072731623,36.55539185136776,159.2,20.7,25.8,30.2,17.4,157.5,117.8,142.1,138.0,112.9,160.7,89.6,38.5,32.8,79.4,165.4,104.9,82.3,92.0,102.8,167.4,73.5,81.0,77.3
2ea4_Stroop,619.0,5862.9,6027.1,6998.0,8445.3,9035.7,9425.9,5497.1,1734.6,1147.5,16451.8,8.4,0.0,0.0,0.0,0.0,91.52111850919006,47.99685552888092,100.5,169.8,99.30772428114517,44.56025437331661,95.9,171.6,101.65958222946588,49.992851100270514,82.6,162.2,98.7415611340936,48.00932008104333,94.1,168.0,96.27814746636923,47.405154497765636,92.7,170.2,3.263355995270962,3.4874477841546883,13.523002806090478,13.993699128670144,12.64469764731614,2.0525378827114613,2.3218240907402388,2.8038785001964794,-0.15254440682088366,50.035856973349276,1.5259201144870342,33.81001529982641,-0.15254440682088366,50.035856973349276,1.5259201144870342,33.81001529982641,-0.15254440682088366,50.035856973349276,1.5259201144870342,33.81001529982641,-0.15254440682088366,50.035856973349276,1.5259201144870342,33.81001529982641,173.2,20.9,26.5,35.1,18.5,172.8,109.8,136.1,127.7,112.5,172.0,95.6,37.3,30.2,88.8,170.2,105.9,85.4,84.5,98.1,166.2,61.5,85.7,77.8
2hpu_Counting1,305.9939314486536,2434.3902642993753,1340.4649629960777,1843.2064057239977,2885.729623361777,3840.7123930486473,7326.664582059125,11330.277217485895,10240.414876579525,6789.247269874505,1858.0980164448342,9620.67297908928,2945.807402382568,14.319064468478082,0.05339559935194093,-0.0004038034463572937,124.12968719283124,38.21790764413371,131.75630808540387,202.14587122401144,122.27280383963273,40.688155299360304,121.74453284775709,197.33665864646775,119.20610998321864,47.915909817929,117.52911139544781,201.66562184017042,120.45472308002813,38.44017984916797,122.44527756755373,204.66492969002547,123.26711417203838,46.20509972274972,121.98108442220459,202.83020536388327,2.2041113723750874,4.16277099775123,23.96256883234339,25.05319049234967,7.065887515934956,6.456215993684489,4.198050999805649,4.68886232010123,0.5711508755296627,59.2384672161025,-1.2218545042340816,53.657029705423895,0.5686537444024891,59.23612190089933,-1.224426505271399,53.658422533624275,0.5668929187134347,59.23619541324017,-1.22363249661222,53.65627061081511,0.5682347795220333,59.23972273366442,-1.223953949634955,53.653795055240806,108.26488752592125,139.95795766914043,95.5675797241098,104.05617007672716,111.74576554557707,155.7194940001832,136.75906862419063,150.48685127033738,138.44721547733886,127.8895296589622,120.45641754372814,106.83261471931245,71.54189472426263,67.29710165043741,102.03215490709552,184.41224773354054,129.84090643777625,107.94103682968645,97.6476352561084,148.3364598128439,182.94456761556745,129.01643180413606,111.36544331280828,109.19948852473905
2hpu_Counting2,236.0320985764539,2105.7904394409043,1250.7768045615535,1603.9280487531605,2556.600047108715,3085.280189133832,6132.5038759507015,10502.161002314364,12119.455666740418,7115.58395526471,2963.200397785154,8421.87215077036,3835.4406870119965,17.584456239831713,0.14457516188586525,0.015586662247743252,131.9589455591039,39.23104928581558,139.31205507291446,209.63114160906426,129.1583823457328,41.48422750932938,129.62020021863052,204.7919366819809,127.18082630305842,47.57132670922955,126.86367712182718,209.23933747536154,124.3383003566615,36.357574680469824,127.9100640923362,208.64879925969092,134.49584036131296,47.922125627858144,136.33964134686155,212.8801254495819,1.8403699414706907,4.125809030256581,24.44319515403953,26.73038130133349,8.443125454301052,7.183774757508245,4.217844649248557,5.120935693249756,1.3010285498322829,59.62390370282193,-1.431057403582548,57.02590838164049,1.2997324093855283,59.62366228746815,-1.4304887520797391,57.024946802519864,1.3001621928602922,59.62329476729031,-1.4306900128115765,57.02525624561553,1.3011566187617913,59.622826111008386,-1.4317300711998684,57.02678395074512,79.56874690732894,148.61658198326683,110.69603399932734,113.3997382769318,135.7124043630656,109.61695121802029,143.22463070835474,154.20880501604518,146.12593735752603,147.6710400338883,111.15980753456287,109.38332115157232,77.09614461711652,71.15156945247911,126.47246088767041,187.414896775432,135.7198984815511,117.25612442105925,108.06549283487564,157.37564630729898,189.36962964668064,125.17712246230131,118.79350927176503,122.25747745781887
2hpu_Counting3,152.176,1009.608,1966.328,1821.408,2630.08,3197.296,5858.408,10318.872,10394.6,7547.856,3690.6,2391.032,10776.0,62.448,0.8,0.008,131.79843750429097,41.67457357827326,136.836,217.064,129.8107872260324,43.13461737993713,130.04,212.016,137.40076318873744,46.148566335598595,130.48,215.12,125.26810580127224,39.76773529344613,126.36,215.944,140.71707880555715,46.18110018276599,146.988,220.424,2.8522127057110875,5.454228428626826,26.86636932254959,28.645499561395763,11.47506999099622,5.758758148937833,4.53239350510358,6.087954859913487,0.656129250663184,67.06291978009074,-1.1327881894381864,60.74726596586322,0.656129250663184,67.06291978009074,-1.1327881894381864,60.74726596586322,0.656129250663184,67.06291978009074,-1.1327881894381864,60.74726596586322,0.656129250663184,67.06291978009074,-1.1327881894381864,60.74726596586322,116.152,141.12,111.576,112.4,177.168,163.544,139.36,146.584,145.12,177.248,122.272,116.624,70.584,66.232,147.856,192.92,130.792,109.08,118.336,162.432,192.656,129.416,114.44,129.192
